t_s,x_m,v_mps,a_mps2
0.0,0.00161,2.9413,204.8445
0.002,0.00462,3.3281,217.9727
0.004,0.00885,3.7045,229.912
0.006,0.01498,4.072,240.9672
0.008,0.02244,4.4312,251.3237
0.01,0.03122,4.7833,259.5073
0.012,0.04126,5.1297,264.1555
0.014,0.05284,5.7148,266.7445
0.016,0.06585,6.3464,273.8874
0.018000000000000002,0.07992,7.0068,280.7296
0.020000000000000004,0.09556,7.6958,287.6167
0.022000000000000006,0.11223,8.4129,294.5113
0.024000000000000007,0.13049,9.1568,301.3608
0.02600000000000001,0.14969,9.8437,308.1406
0.02800000000000001,0.1704,10.4551,310.7555
0.030000000000000013,0.1923,11.0557,308.3108
0.032000000000000015,0.21527,11.6469,304.3084
0.034000000000000016,0.23938,12.2294,299.0703
0.03600000000000002,0.26437,12.8041,292.6272
0.03800000000000002,0.29103,13.3699,285.0216
0.04000000000000002,0.31846,13.9263,277.6901
0.04200000000000002,0.34702,14.4751,272.3116
0.044000000000000025,0.37691,15.0147,268.1004
0.04600000000000003,0.40776,15.5451,263.9634
0.04800000000000003,0.43976,16.0666,259.8706
0.05000000000000003,0.47238,16.5803,255.8111
0.05200000000000003,0.50644,17.0861,251.7736
0.054000000000000034,0.54083,17.5849,247.7922
0.056000000000000036,0.57705,18.077,243.8823
0.05800000000000004,0.61394,18.5605,240.0437
0.06000000000000004,0.65169,19.0363,236.2912
0.06200000000000004,0.69062,19.5041,232.6217
0.06400000000000004,0.73016,19.9645,229.0051
0.06600000000000004,0.77088,20.4177,225.4096
0.06800000000000005,0.81237,20.8627,221.8443
0.07000000000000005,0.85452,21.301,218.3131
0.07200000000000005,0.89784,21.7333,214.83
0.07400000000000005,0.94194,22.1591,211.4072
0.07600000000000005,0.98686,22.5782,208.0466
0.07800000000000006,1.03254,22.9908,204.7596
0.08000000000000006,1.07912,23.3963,201.5358
0.08200000000000006,1.12663,23.7946,198.367
0.08400000000000006,1.17464,24.1871,195.233
0.08600000000000006,1.22362,24.5736,192.1097
0.08800000000000006,1.27347,24.9537,189.0023
0.09000000000000007,1.32391,25.3276,185.9404
0.09200000000000007,1.37503,25.6957,182.937
0.09400000000000007,1.42681,26.0585,179.982
0.09600000000000007,1.47936,26.4158,177.0854
0.09800000000000007,1.53293,26.7666,174.2456
0.10000000000000007,1.58695,27.1111,171.4363
0.10200000000000008,1.64177,27.4498,168.6503
0.10400000000000008,1.69715,27.7828,165.9047
0.10600000000000008,1.75304,28.111,163.2013
0.10800000000000008,1.80977,28.4342,160.5319
0.11000000000000008,1.86712,28.7518,157.9055
0.11200000000000009,1.92509,29.0642,155.3389
0.11400000000000009,1.98371,29.3722,152.8274
0.11600000000000009,2.043,29.6747,150.3514
0.11800000000000009,2.10268,29.9717,147.9188
0.12000000000000009,2.16304,30.2639,145.5355
0.1220000000000001,2.22393,30.5514,143.1799
0.1240000000000001,2.2854,30.8347,140.8406
0.12600000000000008,2.34749,31.114,138.5384
0.12800000000000009,2.41013,31.3887,136.2866
0.1300000000000001,2.47338,31.6586,134.0732
0.1320000000000001,2.53719,31.9235,131.9023
0.1340000000000001,2.60123,32.1843,129.7683
0.1360000000000001,2.66596,32.4416,127.6558
0.1380000000000001,2.73136,32.6944,125.5695
0.1400000000000001,2.79735,32.9421,123.5215
0.1420000000000001,2.8632,33.1862,121.5047
0.1440000000000001,2.92994,33.4273,119.507
0.1460000000000001,2.99723,33.664,117.5453
0.1480000000000001,3.0649,33.8966,115.6151
0.1500000000000001,3.13299,34.1251,113.7074
0.1520000000000001,3.20169,34.3495,111.8334
0.1540000000000001,3.27057,34.5707,110.0008
0.1560000000000001,3.33994,34.7892,108.2079
0.1580000000000001,3.41007,35.0038,106.4305
0.16000000000000011,3.48028,35.214,104.6755
0.16200000000000012,3.55113,35.4208,102.9607
0.16400000000000012,3.62223,35.6239,101.2627
0.16600000000000012,3.6938,35.8244,99.5661
0.16800000000000012,3.76564,36.0216,97.8934
0.17000000000000012,3.83793,36.215,96.26
0.17200000000000013,3.91064,36.4058,94.6489
0.17400000000000013,3.98387,36.5936,93.0694
0.17600000000000013,4.05707,36.7783,91.5236
0.17800000000000013,4.13113,36.9599,89.9988
0.18000000000000013,4.20529,37.1375,88.4987
